,Date,death_cnt,hosp_cnt,ill_cnt
211,2022-03-30,0,1,12
945,2022-03-31,0,1,6
974,2022-04-01,0,0,10
1077,2022-04-02,0,2,11
1061,2022-04-03,0,0,9
740,2022-04-04,0,2,20
971,2022-04-05,0,2,17
930,2022-04-06,0,0,12
573,2022-04-07,0,2,11
63,2022-04-08,1,3,16
1081,2022-04-09,0,1,12
41,2022-04-10,0,0,17
823,2022-04-11,0,0,15
1125,2022-04-12,0,0,17
415,2022-04-13,0,1,21
376,2022-04-14,0,0,18
947,2022-04-15,0,0,19
146,2022-04-16,0,4,17
465,2022-04-17,0,1,14
1042,2022-04-18,0,0,20
694,2022-04-19,1,6,30
91,2022-04-20,0,1,23
433,2022-04-21,0,1,24
65,2022-04-22,0,0,20
726,2022-04-23,0,1,15
266,2022-04-24,0,1,29
381,2022-04-25,0,0,44
406,2022-04-26,0,0,26
644,2022-04-27,1,2,32
545,2022-04-28,0,2,24
166,2022-04-29,0,3,27
77,2022-04-30,0,4,23
705,2022-05-01,1,2,30
642,2022-05-02,0,5,42
814,2022-05-03,1,4,31
462,2022-05-04,0,1,29
548,2022-05-05,1,5,38
559,2022-05-06,0,1,29
533,2022-05-07,1,4,34
733,2022-05-08,0,2,31
351,2022-05-09,0,1,43
70,2022-05-10,0,3,34
34,2022-05-11,0,3,42
60,2022-05-12,0,2,34
466,2022-05-13,0,2,31
431,2022-05-14,0,2,46
374,2022-05-15,0,1,40
879,2022-05-16,0,2,63
874,2022-05-17,0,0,54
839,2022-05-18,0,3,33
432,2022-05-19,0,1,33
882,2022-05-20,0,4,40
958,2022-05-21,0,1,35
634,2022-05-22,1,2,33
593,2022-05-23,0,5,59
99,2022-05-24,0,4,56
72,2022-05-25,1,3,37
817,2022-05-26,0,2,37
494,2022-05-27,1,3,44
977,2022-05-28,1,2,25
622,2022-05-29,0,3,43
259,2022-05-30,0,1,33
536,2022-05-31,0,1,47
773,2022-06-01,1,1,53
774,2022-06-02,1,4,46
285,2022-06-03,1,2,42
940,2022-06-04,0,0,37
739,2022-06-05,1,3,40
939,2022-06-06,1,1,69
618,2022-06-07,0,5,62
488,2022-06-08,0,2,30
168,2022-06-09,1,2,33
783,2022-06-10,0,1,36
648,2022-06-11,0,1,48
329,2022-06-12,0,4,37
403,2022-06-13,0,3,52
375,2022-06-14,1,6,39
707,2022-06-15,0,4,40
972,2022-06-16,0,0,37
998,2022-06-17,0,4,36
703,2022-06-18,0,0,30
530,2022-06-19,0,5,52
685,2022-06-20,1,1,37
344,2022-06-21,0,2,46
968,2022-06-22,0,1,39
468,2022-06-23,0,1,35
55,2022-06-24,2,4,37
824,2022-06-25,0,1,38
741,2022-06-26,0,5,38
162,2022-06-27,1,2,53
460,2022-06-28,0,3,29
966,2022-06-29,0,3,27
788,2022-06-30,1,2,25
785,2022-07-01,1,3,29
855,2022-07-02,0,3,34
692,2022-07-03,1,5,33
525,2022-07-04,0,4,33
547,2022-07-05,0,3,50
107,2022-07-06,0,3,30
871,2022-07-07,0,2,32
153,2022-07-08,0,3,37
52,2022-07-09,0,1,41
835,2022-07-10,0,3,32
816,2022-07-11,2,2,53
916,2022-07-12,1,2,27
659,2022-07-13,0,4,37
840,2022-07-14,0,2,27
313,2022-07-15,1,4,32
765,2022-07-16,0,1,26
757,2022-07-17,0,1,32
619,2022-07-18,0,4,46
246,2022-07-19,0,3,35
440,2022-07-20,1,2,29
807,2022-07-21,1,5,36
888,2022-07-22,0,3,33
422,2022-07-23,1,4,41
30,2022-07-24,0,1,38
866,2022-07-25,3,3,41
943,2022-07-26,0,3,33
20,2022-07-27,0,1,32
457,2022-07-28,0,1,32
447,2022-07-29,0,8,41
713,2022-07-30,0,2,25
869,2022-07-31,0,2,23
623,2022-08-01,1,4,39
721,2022-08-02,0,3,39
706,2022-08-03,1,3,36
872,2022-08-04,1,3,33
160,2022-08-05,0,4,37
792,2022-08-06,0,1,30
413,2022-08-07,0,2,28
915,2022-08-08,1,2,33
867,2022-08-09,1,1,21
873,2022-08-10,0,0,19
302,2022-08-11,0,4,25
321,2022-08-12,0,2,30
846,2022-08-13,0,2,28
555,2022-08-14,0,2,23
596,2022-08-15,0,2,19
799,2022-08-16,0,2,24
827,2022-08-17,0,2,20
444,2022-08-18,0,1,24
